,epoch,train_mape,train_mae,train_rmse,val_mape,val_mae,val_rmse,test_mape,test_mae,test_rmse,train_time
0,0.0,0.4780559227290346,145.41857008693194,147.47405830042317,0.4780559227290346,145.41857008693194,147.47405830042317,0.49356580277850076,153.40826352829475,154.22571267736046,15.84628701210022
1,1.0,0.07161933628845586,21.766589109324446,24.18210987664023,0.07161933628845586,21.766589109324446,24.18210987664023,0.05280804671006108,16.80137369434019,20.525323724682245,29.889124155044556
2,2.0,0.0679914047733302,20.371141139868534,22.747083444124474,0.0679914047733302,20.371141139868534,22.747083444124474,0.042502371547634976,13.535809915779863,16.759312612068822,43.96237111091614
3,3.0,0.06752691543780852,20.181533890541154,22.651898027629375,0.06752691543780852,20.181533890541154,22.651898027629375,0.0416967970609773,13.263066150378528,16.269487382634484,58.04220199584961
4,4.0,0.0680879651479074,20.41066104873503,22.767069630879725,0.0680879651479074,20.41066104873503,22.767069630879725,0.04266859170445691,13.592184565857233,16.860701102963098,72.08254909515381
5,5.0,0.06827046940662546,20.483374060967957,22.807127322152795,0.06827046940662546,20.483374060967957,22.807127322152795,0.04297900309679707,13.696368889494916,17.040163510401204,86.22444415092468
6,6.0,0.06723352915589303,20.056404415246213,22.602658885727294,0.06723352915589303,20.056404415246213,22.602658885727294,0.041155321301313275,13.077828360557078,15.925853185316543,100.33647298812866
7,7.0,0.06813195679489639,20.428279865688747,22.776628662274103,0.06813195679489639,20.428279865688747,22.776628662274103,0.04274315771009714,13.617277913370584,16.904638160351695,114.66721200942993
8,8.0,0.06765130510895383,20.232710726343022,22.67621098626349,0.06765130510895383,20.232710726343022,22.67621098626349,0.04191205475107986,13.33625595871935,16.40258257965753,128.67328810691833
9,9.0,0.0680086193736419,20.378711075060295,22.749906169270922,0.0680086193736419,20.378711075060295,22.749906169270922,0.04253360254179374,13.546667615557446,16.780092339039673,142.8270881175995
10,10.0,0.06832340571512932,20.50431241484363,22.819040722361958,0.06832340571512932,20.50431241484363,22.819040722361958,0.04306999212452012,13.726779083349031,17.09119798483187,157.03274297714233
11,11.0,0.06723150752498012,20.05553840475371,22.602378057261568,0.06723150752498012,20.05553840475371,22.602378057261568,0.04115165462066716,13.076568817797764,15.923518888930214,171.27806305885315
12,12.0,0.06948639569827972,20.957567543569237,23.116959975917066,0.06948639569827972,20.957567543569237,23.116959975917066,0.04541357598870723,14.49323988894851,18.18154754825782,185.37801003456116
13,13.0,0.06688958200374194,19.909669372404462,22.559161776294392,0.06688958200374194,19.909669372404462,22.559161776294392,0.04054735672158259,12.868597613209637,15.535618425180132,199.43736100196838
14,14.0,0.06685963372722113,19.89682458110771,22.5562270689278,0.06685963372722113,19.89682458110771,22.5562270689278,0.040494340902149,12.850314165923576,15.501893349021621,213.5255560874939
15,15.0,0.06650791090140648,19.745355262679283,22.532017982715093,0.06650791090140648,19.745355262679283,22.532017982715093,0.03987359977968941,12.635785504067622,15.110676217156431,227.4775550365448
16,16.0,0.06728664902937903,20.079021692603526,22.61094404837997,0.06728664902937903,20.079021692603526,22.61094404837997,0.04125106358857349,13.110670104500201,15.987170242273141,241.63190603256226
17,17.0,0.06831161052792449,20.49965793070167,22.81635275395392,0.06831161052792449,20.49965793070167,22.81635275395392,0.043049667856251105,13.719994318917553,17.079879958477377,255.79728603363037
18,18.0,0.0679398826755623,20.35089568020599,22.735204391003215,0.0679398826755623,20.35089568020599,22.735204391003215,0.04241594960657907,13.506934330197968,16.709269658148504,269.9052801132202
19,19.0,0.06770648865466045,20.26117814643937,22.681074196004467,0.06770648865466045,20.26117814643937,22.681074196004467,0.04207068016657698,13.39055672646048,16.504929298619256,283.9455051422119
20,20.0,0.06793357298305704,20.348305268412886,22.73389573353521,0.06793357298305704,20.348305268412886,22.73389573353521,0.04240477203314066,13.503154183245178,16.702499044738246,297.9507460594177
21,21.0,0.06749579808845939,20.167627683234937,22.647119808633853,0.06749579808845939,20.167627683234937,22.647119808633853,0.041631896064651036,13.240867258171212,16.228056362050456,312.0988690853119
22,22.0,0.0669182996840124,19.921958930275657,22.56213824302507,0.0669182996840124,19.921958930275657,22.56213824302507,0.04059807449146614,12.88607787677197,15.567899923980857,326.0795660018921
23,23.0,0.06770226537719935,20.2535850710628,22.6864407266175,0.06770226537719935,20.2535850710628,22.6864407266175,0.042000290995235036,13.366194846719907,16.456593010293826,340.3215100765228
24,24.0,0.06662811784030909,19.79730379316542,22.53804193295441,0.06662811784030909,19.79730379316542,22.53804193295441,0.04008596560270949,12.709279563005857,15.243598620918943,354.2910180091858
25,25.0,0.06734656532316832,20.104489720739497,22.62076821250157,0.06734656532316832,20.104489720739497,22.62076821250157,0.04135955247291723,13.147837427236041,16.056396751622888,368.20276498794556
26,26.0,0.06740809754461087,20.130609912679652,22.63134728981969,0.06740809754461087,20.130609912679652,22.63134728981969,0.04147212776456003,13.186333191541298,16.12763869657943,382.3148989677429
27,27.0,0.06804214011924574,20.39235343208698,22.75701496432059,0.06804214011924574,20.39235343208698,22.75701496432059,0.04259206199256201,13.566401220858447,16.815232677532624,396.50409603118896
28,28.0,0.06803455507469378,20.38917296392267,22.75550424481233,0.06803455507469378,20.38917296392267,22.75550424481233,0.04257780574945314,13.561581875622103,16.80657974928614,410.455402135849
29,29.0,0.06851183236209575,20.578572962520095,22.8624575329997,0.06851183236209575,20.578572962520095,22.8624575329997,0.04339947947162221,13.83652363308227,17.271305008005303,424.61537504196167
