,epoch,train_mape,train_mae,train_rmse,val_mape,val_mae,val_rmse,test_mape,test_mae,test_rmse,train_time
0,0.0,0.9454850944532891,285.9218703621292,286.81281274793804,0.9454901991397797,285.8857290089758,286.7423765154017,0.9471083638431935,293.92590731397735,294.19265695852175,27.66856098175049
1,1.0,0.8614380189384874,260.65914887260436,261.6361530551996,0.861451018920789,260.6230083701485,261.5624277696896,0.8655655438516635,268.6632881175966,268.9550998332246,52.402209997177124
2,2.0,0.7503629545080984,227.2723841932678,228.39226209823397,0.7503863852218067,227.2362443833602,228.3130872893318,0.7577997124920243,235.27656520734615,235.60973341851076,77.02382397651672
3,3.0,0.6221188210398861,188.72496398910522,190.07209950383108,0.622154291362241,188.6888240623474,189.98428752832945,0.6333762166406527,196.72916255761248,197.12749239092295,100.57334184646606
4,4.0,0.48589322410967195,147.77848624633788,149.49506097041737,0.4859414860776314,147.742347080833,149.3933048193313,0.501209021049869,155.78269901837655,156.28542652934675,124.45499396324158
5,5.0,0.35097040536940105,107.2235946859741,109.57733476922783,0.351031332741723,107.18745518333034,109.4518603132901,0.3703057757525664,115.22781714444662,115.90657982943341,149.1213448047638
6,6.0,0.2277846849946428,70.19662090515136,73.74183815359181,0.22785717778542627,70.16048165973865,73.57344931786258,0.2507899380743949,78.20084537485027,79.1975842938283,172.7647168636322
7,7.0,0.127168596023819,39.95339488586426,45.89619677540202,0.12725181907270236,39.91759163705926,45.64910270146071,0.15316640686721827,47.95628793972851,49.565018748513914,195.83030080795288
8,8.0,0.08152538013452172,25.49939335083008,29.58091948675074,0.08111019418724917,25.33059727317408,29.22187292612674,0.08585390051582169,27.102329658803356,29.85668345666022,220.09310793876648
9,9.0,0.07187961766729188,21.86937341796875,23.973523917389155,0.07058180228187566,21.45532991911236,23.546063835782125,0.05182265550054737,16.526576349528895,20.34438631452409,243.49204397201538
10,10.0,0.06877856371403078,20.663175498657225,22.931923698362137,0.06718434835628828,20.16724140769557,22.491192201682985,0.043468332795115375,13.859743097210456,17.308878802325427,267.13077878952026
11,11.0,0.06553281812095968,19.783546256103516,21.81361555823073,0.06411877417076592,19.340129258005245,21.399672332490923,0.04302310738838329,13.732063448011985,17.23672735729768,290.4212589263916
12,12.0,0.06037141563780133,18.061831536254882,20.306853703248787,0.05882220028576956,17.582427131251283,19.90066990858904,0.03763636541527172,11.967872415194854,14.6679579452821,314.56962180137634
13,13.0,0.015046189881984478,4.7461669128417965,7.427975431169712,0.014265419762327059,4.49413808320698,7.179977174813474,0.012560404659530315,4.01633936423623,6.12638575316838,337.4981188774109
14,14.0,0.0054470203737970345,1.747953911743164,3.440025608486373,0.005224053401112443,1.671143943385074,3.351326233203339,0.004809988255422112,1.5261421575950216,2.773691348431797,362.1370339393616
15,15.0,0.003907128863009398,1.22300037109375,2.060053337652284,0.003892690783772968,1.2142261103579877,2.033999179552545,0.0036004377119906754,1.1394761255871964,1.674056028259518,386.3132767677307
16,16.0,0.002840972584691768,0.8747329742431641,1.4007263320284775,0.002822588652048121,0.8696188836348693,1.3864554790099564,0.0020836600972355206,0.6552538680327751,1.0511038127321324,410.3655469417572
17,17.0,0.002483540173054831,0.7580943450927737,1.1099220296742416,0.0024947951495115,0.7625576420834199,1.1005446460863113,0.0020734870117062555,0.6525104761562732,0.9114294858330907,434.09344387054443
18,18.0,0.002162428278437413,0.6600648284912111,0.8825497545453567,0.0022203716365840824,0.6777410607588927,0.8895444684749214,0.0016413978253534826,0.516390253562295,0.7275340335495553,458.2802469730377
19,19.0,0.003934045327998837,1.2270002606201176,1.4811966057750074,0.003928179466365267,1.2215884118331106,1.4614592688195778,0.004283510366031971,1.3426363135350121,1.510461699897989,482.82817792892456
20,20.0,0.0019715946008917263,0.6011189746093746,0.8160623708455577,0.001982363074736749,0.6039068924753291,0.8215811240687675,0.003542327580389253,1.079021269094,1.288852915446753,504.5334279537201
21,21.0,0.002021335783381533,0.6170561187744142,0.8094620676408691,0.002048789587409974,0.6238046666195525,0.8144913384938739,0.002503580822137962,0.778954506974194,0.9027752255333864,526.3832437992096
22,22.0,0.0015315023247713104,0.46226385864257835,0.6169715064256297,0.0015534382668249515,0.46827476903011983,0.6226892794361585,0.001958287486855606,0.6031934537940263,0.7270332735141876,548.9523088932037
23,23.0,0.002109725195753854,0.6489068951416017,0.7512135627418416,0.0021126128351945856,0.6479228732460427,0.7460677728770434,0.0021607698273748296,0.6743374355590145,0.7681934104502254,573.4224429130554
24,24.0,0.0021212833082408637,0.6128147113037107,0.8077013673739216,0.0020733966164217087,0.5994259523090564,0.7902494498973371,0.002282166336139975,0.6875767098386425,0.9270620949119673,598.1675119400024
25,25.0,0.00236396941688427,0.7058904998779297,0.8038911645795288,0.0023149374628730498,0.6900381188643612,0.7943347583304248,0.001934170518645963,0.603780999368067,0.6952881693668695,622.8819799423218
26,26.0,0.0012795558614943979,0.38143125976562514,0.46725021251474774,0.0012648093258574831,0.3765041190699533,0.4708889819563732,0.0016233276434513791,0.4940560658772786,0.6235646051353412,646.6277768611908
27,27.0,0.0017360210667128548,0.5355942694091796,0.6243610559398146,0.001731491470308451,0.5336866398861533,0.6208722434511772,0.0017672337203263034,0.5571876279996026,0.6749260824456318,671.174017906189
28,28.0,0.0011066735368304161,0.3238714331054688,0.4145578362567356,0.0011123274321666416,0.32531639500668236,0.4194801737056812,0.0010094105468925832,0.3111655999283764,0.39854681824878097,694.3782708644867
